word,COCA-Acad
the,"7,131,341"
of,"4,060,103"
be,"3,457,266"
and,"3,291,949"
a,"2,708,902"
in,"2,367,953"
to,"1,682,820"
to,"1,215,360"
that,"1,064,576"
for,"1,014,762"
have,"978,516"
with,"774,756"
it,"673,174"
on,"659,129"
by,"598,731"
this,"510,484"
or,"508,533"
from,"500,702"
not,"474,931"
their,"408,973"
as,"408,637"
at,"406,698"
as,"373,925"
they,"373,105"
do,"370,132"
but,"343,724"
he,"293,238"
can,"288,576"
we,"286,901"
which,"280,188"
his,"269,679"
you,"260,267"
that,"257,814"
who,"228,028"
these,"227,204"
its,"222,386"
all,"209,920"
other,"200,298"
will,"200,030"
make,"199,659"
more,"199,406"
would,"198,571"
than,"194,949"
one,"193,568"
also,"192,668"
if,"189,474"
use,"184,698"
time,"184,374"
student,"183,801"
year,"179,526"
what,"178,012"
say,"175,929"
some,"167,334"
about,"164,132"
into,"158,983"
there,"153,587"
when,"148,571"
new,"142,281"
between,"140,049"
two,"139,375"
our,"137,807"
study,"137,208"
people,"136,822"
them,"136,782"
see,"136,403"
only,"132,096"
take,"131,217"
many,"130,609"
n't,"129,412"
your,"123,829"
first,"123,671"
group,"122,011"
could,"120,818"
how,"118,439"
those,"118,246"
school,"117,137"
find,"115,811"
so,"115,655"
child,"111,063"
way,"110,558"
system,"110,176"
more,"108,977"
high,"108,493"
up,"108,433"
no,"104,093"
state,"103,379"
through,"102,046"
world,"101,918"
program,"100,151"
social,"99,744"
my,"99,431"
because,"99,129"
one,"98,855"
such,"98,532"
should,"97,897"
she,"96,676"
out,"95,747"
then,"95,413"
go,"94,926"
woman,"94,406"
become,"94,219"
any,"94,180"
life,"93,968"
most,"93,823"
even,"93,599"
her,"93,431"
provide,"93,212"
get,"91,256"
however,"90,906"
each,"90,887"
give,"90,650"
know,"89,693"
come,"86,034"
while,"84,915"
like,"84,322"
during,"83,964"
research,"83,325"
teacher,"82,502"
problem,"81,576"
education,"80,470"
as,"78,918"
American,78274
level,"78,162"
now,"77,266"
work,"76,381"
just,"76,056"
man,"75,969"
need,"75,094"
over,"74,745"
case,"74,675"
political,"73,816"
number,"73,345"
three,"73,208"
community,"73,181"
in,"72,984"
own,"72,925"
after,"72,276"
result,"72,083"
show,"71,852"
government,"71,499"
same,"71,251"
work,"70,763"
large,"70,352"
include,"70,098"
such,"70,078"
day,"69,430"
must,"68,350"
among,"68,274"
great,"68,158"
area,"67,950"
country,"67,617"
most,"67,451"
important,"67,258"
family,"67,188"
different,"66,947"
process,"66,382"
power,"66,059"
part,"65,959"
national,"65,615"
use,"64,527"
service,"64,187"
within,"63,995"
development,"63,509"
data,"63,480"
think,"63,193"
often,"62,905"
information,"61,931"
question,"61,773"
very,"61,194"
issue,"60,679"
another,"60,499"
effect,"60,078"
call,"60,044"
health,"59,684"
might,"59,621"
begin,"59,606"
us,"59,483"
change,"59,284"
table,"59,158"
policy,"58,987"
help,"58,902"
although,"57,943"
university,"57,835"
both,"57,485"
model,"57,310"
small,"56,916"
company,"56,541"
experience,"56,541"
good,"56,080"
me,"55,993"
activity,"55,151"
human,"54,672"
member,"54,340"
still,"54,208"
him,"53,767"
history,"53,474"
want,"53,194"
without,"53,064"
create,"53,032"
develop,"52,543"
war,"52,455"
suggest,"52,412"
economic,"52,368"
seem,"52,291"
well,"51,983"
low,"51,858"
law,"51,833"
under,"51,295"
relationship,"50,744"
look,"50,262"
behavior,"50,225"
much,"50,156"
both,"49,946"
value,"49,900"
public,"49,784"
require,"49,554"
role,"49,426"
against,"49,347"
write,"49,345"
place,"49,327"
far,"49,223"
when,"49,171"
difference,"49,081"
water,"48,781"
early,"48,779"
analysis,"48,500"
few,"47,987"
practice,"47,915"
fact,"47,686"
society,"47,060"
art,"46,956"
several,"46,873"
old,"46,787"
point,"46,705"
thing,"46,693"
right,"46,672"
too,"46,326"
thus,"46,287"
ask,"46,199"
where,"45,732"
control,"45,690"
form,"45,275"
learn,"45,228"
others,"45,125"
consider,"44,671"
report,"44,666"
about,"44,540"
rate,"44,493"
lead,"44,493"
significant,"44,415"
figure,"44,084"
factor,"43,871"
since,"43,548"
interest,"43,498"
allow,"43,431"
follow,"42,590"
culture,"42,561"
force,"42,481"
word,"42,360"
patient,"42,328"
here,"42,242"
need,"42,193"
base,"42,082"
every,"41,932"
whether,"41,703"
body,"41,670"
feel,"41,534"
class,"41,519"
including,"41,265"
population,"40,902"
appear,"40,754"
yet,"40,751"
international,"40,746"
age,"40,706"
participant,"40,689"
hold,"40,487"
before,"40,417"
college,"40,366"
city,"40,205"
